drug_id,drug_name,n,rho,p,hrd_definition
1017,Olaparib,847,0.07303902355747402,0.03355541123162104,HRD_narrow (BRCA1+BRCA2+ATM)
1175,Rucaparib,918,0.057648542947959416,0.08085660161066476,HRD_narrow (BRCA1+BRCA2+ATM)
1259,Talazoparib,912,0.04859472846839054,0.14254416420615093,HRD_narrow (BRCA1+BRCA2+ATM)
1030,KU-55933,845,0.03276074076709854,0.34152124831300035,HRD_narrow (BRCA1+BRCA2+ATM)
1022,AZD7762,846,0.03800157468534258,0.26955784625571483,HRD_narrow (BRCA1+BRCA2+ATM)
1017,Olaparib,847,0.06793230580545616,0.048107721598804776,HRD_broad (11 DDR genes)
1175,Rucaparib,918,0.08298985137710851,0.011890298713867669,HRD_broad (11 DDR genes)
1259,Talazoparib,912,0.12055542749925331,0.00026324553441142847,HRD_broad (11 DDR genes)
1030,KU-55933,845,0.0020350212874514907,0.9528977153497501,HRD_broad (11 DDR genes)
1022,AZD7762,846,0.09109505481844393,0.008020765083980511,HRD_broad (11 DDR genes)
